audio_id,text,label,split,is_ambiguous
03-01-01-01-01-01-01,Kids are talking by the door.,neutral,train,1
03-01-01-01-01-02-01,Kids are talking by the door.,neutral,train,1
03-01-01-01-02-01-01,Dogs are sitting by the door.,neutral,train,1
03-01-01-01-02-02-01,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-01-01-01,Kids are talking by the door.,neutral,train,1
03-01-02-01-01-02-01,Kids are talking by the door.,neutral,train,1
03-01-02-01-02-01-01,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-02-02-01,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-01-01-01,Kids are talking by the door.,neutral,train,1
03-01-02-02-01-02-01,Kids are talking by the door.,neutral,train,1
03-01-02-02-02-01-01,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-02-02-01,Dogs are sitting by the door.,neutral,train,1
03-01-03-01-01-01-01,Kids are talking by the door.,happy,train,1
03-01-03-01-01-02-01,Kids are talking by the door.,happy,train,1
03-01-03-01-02-01-01,Dogs are sitting by the door.,happy,train,1
03-01-03-01-02-02-01,Dogs are sitting by the door.,happy,train,1
03-01-03-02-01-01-01,Kids are talking by the door.,happy,train,1
03-01-03-02-01-02-01,Kids are talking by the door.,happy,train,1
03-01-03-02-02-01-01,Dogs are sitting by the door.,happy,train,1
03-01-03-02-02-02-01,Dogs are sitting by the door.,happy,train,1
03-01-04-01-01-01-01,Kids are talking by the door.,sad,train,1
03-01-04-01-01-02-01,Kids are talking by the door.,sad,train,1
03-01-04-01-02-01-01,Dogs are sitting by the door.,sad,train,1
03-01-04-01-02-02-01,Dogs are sitting by the door.,sad,train,1
03-01-04-02-01-01-01,Kids are talking by the door.,sad,train,1
03-01-04-02-01-02-01,Kids are talking by the door.,sad,train,1
03-01-04-02-02-01-01,Dogs are sitting by the door.,sad,train,1
03-01-04-02-02-02-01,Dogs are sitting by the door.,sad,train,1
03-01-05-01-01-01-01,Kids are talking by the door.,angry,train,1
03-01-05-01-01-02-01,Kids are talking by the door.,angry,train,1
03-01-05-01-02-01-01,Dogs are sitting by the door.,angry,train,1
03-01-05-01-02-02-01,Dogs are sitting by the door.,angry,train,1
03-01-05-02-01-01-01,Kids are talking by the door.,angry,train,1
03-01-05-02-01-02-01,Kids are talking by the door.,angry,train,1
03-01-05-02-02-01-01,Dogs are sitting by the door.,angry,train,1
03-01-05-02-02-02-01,Dogs are sitting by the door.,angry,train,1
03-01-01-01-01-01-02,Kids are talking by the door.,neutral,train,1
03-01-01-01-01-02-02,Kids are talking by the door.,neutral,train,1
03-01-01-01-02-01-02,Dogs are sitting by the door.,neutral,train,1
03-01-01-01-02-02-02,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-01-01-02,Kids are talking by the door.,neutral,train,1
03-01-02-01-01-02-02,Kids are talking by the door.,neutral,train,1
03-01-02-01-02-01-02,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-02-02-02,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-01-01-02,Kids are talking by the door.,neutral,train,1
03-01-02-02-01-02-02,Kids are talking by the door.,neutral,train,1
03-01-02-02-02-01-02,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-02-02-02,Dogs are sitting by the door.,neutral,train,1
03-01-03-01-01-01-02,Kids are talking by the door.,happy,train,1
03-01-03-01-01-02-02,Kids are talking by the door.,happy,train,1
03-01-03-01-02-01-02,Dogs are sitting by the door.,happy,train,1
03-01-03-01-02-02-02,Dogs are sitting by the door.,happy,train,1
03-01-03-02-01-01-02,Kids are talking by the door.,happy,train,1
03-01-03-02-01-02-02,Kids are talking by the door.,happy,train,1
03-01-03-02-02-01-02,Dogs are sitting by the door.,happy,train,1
03-01-03-02-02-02-02,Dogs are sitting by the door.,happy,train,1
03-01-04-01-01-01-02,Kids are talking by the door.,sad,train,1
03-01-04-01-01-02-02,Kids are talking by the door.,sad,train,1
03-01-04-01-02-01-02,Dogs are sitting by the door.,sad,train,1
03-01-04-01-02-02-02,Dogs are sitting by the door.,sad,train,1
03-01-04-02-01-01-02,Kids are talking by the door.,sad,train,1
03-01-04-02-01-02-02,Kids are talking by the door.,sad,train,1
03-01-04-02-02-01-02,Dogs are sitting by the door.,sad,train,1
03-01-04-02-02-02-02,Dogs are sitting by the door.,sad,train,1
03-01-05-01-01-01-02,Kids are talking by the door.,angry,train,1
03-01-05-01-01-02-02,Kids are talking by the door.,angry,train,1
03-01-05-01-02-01-02,Dogs are sitting by the door.,angry,train,1
03-01-05-01-02-02-02,Dogs are sitting by the door.,angry,train,1
03-01-05-02-01-01-02,Kids are talking by the door.,angry,train,1
03-01-05-02-01-02-02,Kids are talking by the door.,angry,train,1
03-01-05-02-02-01-02,Dogs are sitting by the door.,angry,train,1
03-01-05-02-02-02-02,Dogs are sitting by the door.,angry,train,1
03-01-01-01-01-01-03,Kids are talking by the door.,neutral,train,1
03-01-01-01-01-02-03,Kids are talking by the door.,neutral,train,1
03-01-01-01-02-01-03,Dogs are sitting by the door.,neutral,train,1
03-01-01-01-02-02-03,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-01-01-03,Kids are talking by the door.,neutral,train,1
03-01-02-01-01-02-03,Kids are talking by the door.,neutral,train,1
03-01-02-01-02-01-03,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-02-02-03,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-01-01-03,Kids are talking by the door.,neutral,train,1
03-01-02-02-01-02-03,Kids are talking by the door.,neutral,train,1
03-01-02-02-02-01-03,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-02-02-03,Dogs are sitting by the door.,neutral,train,1
03-01-03-01-01-01-03,Kids are talking by the door.,happy,train,1
03-01-03-01-01-02-03,Kids are talking by the door.,happy,train,1
03-01-03-01-02-01-03,Dogs are sitting by the door.,happy,train,1
03-01-03-01-02-02-03,Dogs are sitting by the door.,happy,train,1
03-01-03-02-01-01-03,Kids are talking by the door.,happy,train,1
03-01-03-02-01-02-03,Kids are talking by the door.,happy,train,1
03-01-03-02-02-01-03,Dogs are sitting by the door.,happy,train,1
03-01-03-02-02-02-03,Dogs are sitting by the door.,happy,train,1
03-01-04-01-01-01-03,Kids are talking by the door.,sad,train,1
03-01-04-01-01-02-03,Kids are talking by the door.,sad,train,1
03-01-04-01-02-01-03,Dogs are sitting by the door.,sad,train,1
03-01-04-01-02-02-03,Dogs are sitting by the door.,sad,train,1
03-01-04-02-01-01-03,Kids are talking by the door.,sad,train,1
03-01-04-02-01-02-03,Kids are talking by the door.,sad,train,1
03-01-04-02-02-01-03,Dogs are sitting by the door.,sad,train,1
03-01-04-02-02-02-03,Dogs are sitting by the door.,sad,train,1
03-01-05-01-01-01-03,Kids are talking by the door.,angry,train,1
03-01-05-01-01-02-03,Kids are talking by the door.,angry,train,1
03-01-05-01-02-01-03,Dogs are sitting by the door.,angry,train,1
03-01-05-01-02-02-03,Dogs are sitting by the door.,angry,train,1
03-01-05-02-01-01-03,Kids are talking by the door.,angry,train,1
03-01-05-02-01-02-03,Kids are talking by the door.,angry,train,1
03-01-05-02-02-01-03,Dogs are sitting by the door.,angry,train,1
03-01-05-02-02-02-03,Dogs are sitting by the door.,angry,train,1
03-01-01-01-01-01-04,Kids are talking by the door.,neutral,train,1
03-01-01-01-01-02-04,Kids are talking by the door.,neutral,train,1
03-01-01-01-02-01-04,Dogs are sitting by the door.,neutral,train,1
03-01-01-01-02-02-04,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-01-01-04,Kids are talking by the door.,neutral,train,1
03-01-02-01-01-02-04,Kids are talking by the door.,neutral,train,1
03-01-02-01-02-01-04,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-02-02-04,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-01-01-04,Kids are talking by the door.,neutral,train,1
03-01-02-02-01-02-04,Kids are talking by the door.,neutral,train,1
03-01-02-02-02-01-04,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-02-02-04,Dogs are sitting by the door.,neutral,train,1
03-01-03-01-01-01-04,Kids are talking by the door.,happy,train,1
03-01-03-01-01-02-04,Kids are talking by the door.,happy,train,1
03-01-03-01-02-01-04,Dogs are sitting by the door.,happy,train,1
03-01-03-01-02-02-04,Dogs are sitting by the door.,happy,train,1
03-01-03-02-01-01-04,Kids are talking by the door.,happy,train,1
03-01-03-02-01-02-04,Kids are talking by the door.,happy,train,1
03-01-03-02-02-01-04,Dogs are sitting by the door.,happy,train,1
03-01-03-02-02-02-04,Dogs are sitting by the door.,happy,train,1
03-01-04-01-01-01-04,Kids are talking by the door.,sad,train,1
03-01-04-01-01-02-04,Kids are talking by the door.,sad,train,1
03-01-04-01-02-01-04,Dogs are sitting by the door.,sad,train,1
03-01-04-01-02-02-04,Dogs are sitting by the door.,sad,train,1
03-01-04-02-01-01-04,Kids are talking by the door.,sad,train,1
03-01-04-02-01-02-04,Kids are talking by the door.,sad,train,1
03-01-04-02-02-01-04,Dogs are sitting by the door.,sad,train,1
03-01-04-02-02-02-04,Dogs are sitting by the door.,sad,train,1
03-01-05-01-01-01-04,Kids are talking by the door.,angry,train,1
03-01-05-01-01-02-04,Kids are talking by the door.,angry,train,1
03-01-05-01-02-01-04,Dogs are sitting by the door.,angry,train,1
03-01-05-01-02-02-04,Dogs are sitting by the door.,angry,train,1
03-01-05-02-01-01-04,Kids are talking by the door.,angry,train,1
03-01-05-02-01-02-04,Kids are talking by the door.,angry,train,1
03-01-05-02-02-01-04,Dogs are sitting by the door.,angry,train,1
03-01-05-02-02-02-04,Dogs are sitting by the door.,angry,train,1
03-01-01-01-01-01-05,Kids are talking by the door.,neutral,train,1
03-01-01-01-01-02-05,Kids are talking by the door.,neutral,train,1
03-01-01-01-02-01-05,Dogs are sitting by the door.,neutral,train,1
03-01-01-01-02-02-05,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-01-01-05,Kids are talking by the door.,neutral,train,1
03-01-02-01-01-02-05,Kids are talking by the door.,neutral,train,1
03-01-02-01-02-01-05,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-02-02-05,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-01-01-05,Kids are talking by the door.,neutral,train,1
03-01-02-02-01-02-05,Kids are talking by the door.,neutral,train,1
03-01-02-02-02-01-05,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-02-02-05,Dogs are sitting by the door.,neutral,train,1
03-01-03-01-01-01-05,Kids are talking by the door.,happy,train,1
03-01-03-01-01-02-05,Kids are talking by the door.,happy,train,1
03-01-03-01-02-01-05,Dogs are sitting by the door.,happy,train,1
03-01-03-01-02-02-05,Dogs are sitting by the door.,happy,train,1
03-01-03-02-01-01-05,Kids are talking by the door.,happy,train,1
03-01-03-02-01-02-05,Kids are talking by the door.,happy,train,1
03-01-03-02-02-01-05,Dogs are sitting by the door.,happy,train,1
03-01-03-02-02-02-05,Dogs are sitting by the door.,happy,train,1
03-01-04-01-01-01-05,Kids are talking by the door.,sad,train,1
03-01-04-01-01-02-05,Kids are talking by the door.,sad,train,1
03-01-04-01-02-01-05,Dogs are sitting by the door.,sad,train,1
03-01-04-01-02-02-05,Dogs are sitting by the door.,sad,train,1
03-01-04-02-01-01-05,Kids are talking by the door.,sad,train,1
03-01-04-02-01-02-05,Kids are talking by the door.,sad,train,1
03-01-04-02-02-01-05,Dogs are sitting by the door.,sad,train,1
03-01-04-02-02-02-05,Dogs are sitting by the door.,sad,train,1
03-01-05-01-01-01-05,Kids are talking by the door.,angry,train,1
03-01-05-01-01-02-05,Kids are talking by the door.,angry,train,1
03-01-05-01-02-01-05,Dogs are sitting by the door.,angry,train,1
03-01-05-01-02-02-05,Dogs are sitting by the door.,angry,train,1
03-01-05-02-01-01-05,Kids are talking by the door.,angry,train,1
03-01-05-02-01-02-05,Kids are talking by the door.,angry,train,1
03-01-05-02-02-01-05,Dogs are sitting by the door.,angry,train,1
03-01-05-02-02-02-05,Dogs are sitting by the door.,angry,train,1
03-01-01-01-01-01-06,Kids are talking by the door.,neutral,train,1
03-01-01-01-01-02-06,Kids are talking by the door.,neutral,train,1
03-01-01-01-02-01-06,Dogs are sitting by the door.,neutral,train,1
03-01-01-01-02-02-06,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-01-01-06,Kids are talking by the door.,neutral,train,1
03-01-02-01-01-02-06,Kids are talking by the door.,neutral,train,1
03-01-02-01-02-01-06,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-02-02-06,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-01-01-06,Kids are talking by the door.,neutral,train,1
03-01-02-02-01-02-06,Kids are talking by the door.,neutral,train,1
03-01-02-02-02-01-06,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-02-02-06,Dogs are sitting by the door.,neutral,train,1
03-01-03-01-01-01-06,Kids are talking by the door.,happy,train,1
03-01-03-01-01-02-06,Kids are talking by the door.,happy,train,1
03-01-03-01-02-01-06,Dogs are sitting by the door.,happy,train,1
03-01-03-01-02-02-06,Dogs are sitting by the door.,happy,train,1
03-01-03-02-01-01-06,Kids are talking by the door.,happy,train,1
03-01-03-02-01-02-06,Kids are talking by the door.,happy,train,1
03-01-03-02-02-01-06,Dogs are sitting by the door.,happy,train,1
03-01-03-02-02-02-06,Dogs are sitting by the door.,happy,train,1
03-01-04-01-01-01-06,Kids are talking by the door.,sad,train,1
03-01-04-01-01-02-06,Kids are talking by the door.,sad,train,1
03-01-04-01-02-01-06,Dogs are sitting by the door.,sad,train,1
03-01-04-01-02-02-06,Dogs are sitting by the door.,sad,train,1
03-01-04-02-01-01-06,Kids are talking by the door.,sad,train,1
03-01-04-02-01-02-06,Kids are talking by the door.,sad,train,1
03-01-04-02-02-01-06,Dogs are sitting by the door.,sad,train,1
03-01-04-02-02-02-06,Dogs are sitting by the door.,sad,train,1
03-01-05-01-01-01-06,Kids are talking by the door.,angry,train,1
03-01-05-01-01-02-06,Kids are talking by the door.,angry,train,1
03-01-05-01-02-01-06,Dogs are sitting by the door.,angry,train,1
03-01-05-01-02-02-06,Dogs are sitting by the door.,angry,train,1
03-01-05-02-01-01-06,Kids are talking by the door.,angry,train,1
03-01-05-02-01-02-06,Kids are talking by the door.,angry,train,1
03-01-05-02-02-01-06,Dogs are sitting by the door.,angry,train,1
03-01-05-02-02-02-06,Dogs are sitting by the door.,angry,train,1
03-01-01-01-01-01-07,Kids are talking by the door.,neutral,train,1
03-01-01-01-01-02-07,Kids are talking by the door.,neutral,train,1
03-01-01-01-02-01-07,Dogs are sitting by the door.,neutral,train,1
03-01-01-01-02-02-07,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-01-01-07,Kids are talking by the door.,neutral,train,1
03-01-02-01-01-02-07,Kids are talking by the door.,neutral,train,1
03-01-02-01-02-01-07,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-02-02-07,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-01-01-07,Kids are talking by the door.,neutral,train,1
03-01-02-02-01-02-07,Kids are talking by the door.,neutral,train,1
03-01-02-02-02-01-07,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-02-02-07,Dogs are sitting by the door.,neutral,train,1
03-01-03-01-01-01-07,Kids are talking by the door.,happy,train,1
03-01-03-01-01-02-07,Kids are talking by the door.,happy,train,1
03-01-03-01-02-01-07,Dogs are sitting by the door.,happy,train,1
03-01-03-01-02-02-07,Dogs are sitting by the door.,happy,train,1
03-01-03-02-01-01-07,Kids are talking by the door.,happy,train,1
03-01-03-02-01-02-07,Kids are talking by the door.,happy,train,1
03-01-03-02-02-01-07,Dogs are sitting by the door.,happy,train,1
03-01-03-02-02-02-07,Dogs are sitting by the door.,happy,train,1
03-01-04-01-01-01-07,Kids are talking by the door.,sad,train,1
03-01-04-01-01-02-07,Kids are talking by the door.,sad,train,1
03-01-04-01-02-01-07,Dogs are sitting by the door.,sad,train,1
03-01-04-01-02-02-07,Dogs are sitting by the door.,sad,train,1
03-01-04-02-01-01-07,Kids are talking by the door.,sad,train,1
03-01-04-02-01-02-07,Kids are talking by the door.,sad,train,1
03-01-04-02-02-01-07,Dogs are sitting by the door.,sad,train,1
03-01-04-02-02-02-07,Dogs are sitting by the door.,sad,train,1
03-01-05-01-01-01-07,Kids are talking by the door.,angry,train,1
03-01-05-01-01-02-07,Kids are talking by the door.,angry,train,1
03-01-05-01-02-01-07,Dogs are sitting by the door.,angry,train,1
03-01-05-01-02-02-07,Dogs are sitting by the door.,angry,train,1
03-01-05-02-01-01-07,Kids are talking by the door.,angry,train,1
03-01-05-02-01-02-07,Kids are talking by the door.,angry,train,1
03-01-05-02-02-01-07,Dogs are sitting by the door.,angry,train,1
03-01-05-02-02-02-07,Dogs are sitting by the door.,angry,train,1
03-01-01-01-01-01-08,Kids are talking by the door.,neutral,train,1
03-01-01-01-01-02-08,Kids are talking by the door.,neutral,train,1
03-01-01-01-02-01-08,Dogs are sitting by the door.,neutral,train,1
03-01-01-01-02-02-08,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-01-01-08,Kids are talking by the door.,neutral,train,1
03-01-02-01-01-02-08,Kids are talking by the door.,neutral,train,1
03-01-02-01-02-01-08,Dogs are sitting by the door.,neutral,train,1
03-01-02-01-02-02-08,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-01-01-08,Kids are talking by the door.,neutral,train,1
03-01-02-02-01-02-08,Kids are talking by the door.,neutral,train,1
03-01-02-02-02-01-08,Dogs are sitting by the door.,neutral,train,1
03-01-02-02-02-02-08,Dogs are sitting by the door.,neutral,train,1
03-01-03-01-01-01-08,Kids are talking by the door.,happy,train,1
03-01-03-01-01-02-08,Kids are talking by the door.,happy,train,1
03-01-03-01-02-01-08,Dogs are sitting by the door.,happy,train,1
03-01-03-01-02-02-08,Dogs are sitting by the door.,happy,train,1
03-01-03-02-01-01-08,Kids are talking by the door.,happy,train,1
03-01-03-02-01-02-08,Kids are talking by the door.,happy,train,1
03-01-03-02-02-01-08,Dogs are sitting by the door.,happy,train,1
03-01-03-02-02-02-08,Dogs are sitting by the door.,happy,train,1
03-01-04-01-01-01-08,Kids are talking by the door.,sad,train,1
03-01-04-01-01-02-08,Kids are talking by the door.,sad,train,1
03-01-04-01-02-01-08,Dogs are sitting by the door.,sad,train,1
03-01-04-01-02-02-08,Dogs are sitting by the door.,sad,train,1
03-01-04-02-01-01-08,Kids are talking by the door.,sad,train,1
03-01-04-02-01-02-08,Kids are talking by the door.,sad,train,1
03-01-04-02-02-01-08,Dogs are sitting by the door.,sad,train,1
03-01-04-02-02-02-08,Dogs are sitting by the door.,sad,train,1
03-01-05-01-01-01-08,Kids are talking by the door.,angry,train,1
03-01-05-01-01-02-08,Kids are talking by the door.,angry,train,1
03-01-05-01-02-01-08,Dogs are sitting by the door.,angry,train,1
03-01-05-01-02-02-08,Dogs are sitting by the door.,angry,train,1
03-01-05-02-01-01-08,Kids are talking by the door.,angry,train,1
03-01-05-02-01-02-08,Kids are talking by the door.,angry,train,1
03-01-05-02-02-01-08,Dogs are sitting by the door.,angry,train,1
